character,i,State,Counts
A,0,0010010,1
A,1,1101011,3
A,2,0101010,1
A,3,1101001,6
A,4,1100111,1
A,5,1110011,1
A,6,0110000,2
A,7,0010000,4
A,8,1000100,1
A,9,0100010,6
A,10,0000011,9
A,11,1010000,6
A,12,1010001,15
A,13,1110000,2
A,14,0000100,1
A,15,0010001,4
A,16,0000001,80
A,17,1000010,36
A,18,1100000,22
A,19,1000000,91
A,20,1001010,6
A,21,0011000,3
A,22,1000101,3
A,23,0100011,5
A,24,1010011,6
A,25,0100001,36
A,26,1000011,49
A,27,0101001,4
A,28,0101000,4
A,29,1100001,67
A,30,0001001,7
A,31,1000001,317
A,32,0001010,1
A,33,1010101,1
A,34,0000010,11
A,35,1111001,2
A,36,1101010,2
A,37,1001001,50
A,38,1100010,8
A,39,0101011,2
A,40,1101000,2
A,41,1100011,14
A,42,0000000,51
A,43,1001011,10
A,44,1011001,5
A,45,0100000,23
A,46,1110001,3
A,47,1100101,1
A,48,0001000,10
A,49,0110001,2
A,50,1001000,23
A,51,1010010,4
